hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
215996,2,2,2,38,11,11,4,1
216450,1,1,2,29,11,13,1,1
216450,2,1,2,30,12,13,1,1
216473,1,1,1,55,9,5,1,1
216473,2,1,2,63,9,5,1,1
216539,1,1,1,49,9,7,3,1
216539,2,1,1,45,11,7,7,1
216593,1,1,1,49,10,13,1,1
216593,2,1,2,49,11,13,7,1
216790,1,1,1,57,9,11,1,1
216790,2,1,1,56,9,11,5,1
216844,1,1,1,39,9,16,6,1
216844,2,1,1,34,13,16,1,1
216892,1,1,2,56,10,9,2,1
216892,2,1,2,55,10,9,1,1
217459,1,1,1,60,10,12,1,1
217459,2,1,1,60,10,12,1,1
217524,1,1,2,52,9,16,2,1
217524,2,1,1,46,9,16,1,1
217740,1,1,2,39,13,11,1,1
217740,2,1,2,42,12,11,7,1
218148,1,1,1,28,12,13,1,1
218148,2,1,2,27,10,13,2,1
218250,1,1,1,57,12,16,5,1
218250,2,1,2,63,14,16,1,1
219344,1,1,1,56,9,16,6,1
219344,2,1,2,48,11,16,1,1
220062,1,2,1,55,10,17,2,1
220062,2,2,1,54,9,17,1,1
220355,1,1,1,48,10,11,6,0
220355,2,1,1,55,9,11,6,0
220459,1,1,1,62,12,8,1,0
220459,2,1,1,58,10,8,7,0
221010,1,1,2,35,13,14,1,1
221010,2,1,1,34,12,14,7,1
221018,1,1,2,38,11,13,1,1
221018,2,1,1,38,14,13,7,1
221851,1,1,1,36,9,15,1,1
221851,2,1,1,37,10,15,1,1
221929,1,1,3,40,13,18,1,1
221929,2,1,1,41,12,18,1,1
222183,1,1,1,57,12,15,1,1
222183,2,1,1,55,12,15,1,1
222477,1,1,1,43,13,16,1,1
222477,2,1,1,42,13,16,7,1
223232,1,1,1,29,10,7,7,1
223232,2,1,1,30,12,7,7,1
223921,1,1,1,55,11,13,1,1
223921,2,1,1,55,9,13,1,1
224100,1,1,1,61,11,16,2,1
224100,2,1,1,59,10,16,1,1
224269,1,1,1,60,9,18,5,1
224269,2,1,1,63,9,18,3,1
224476,1,1,1,48,12,12,1,0
224476,2,1,1,48,12,12,7,0
225190,1,1,1,40,14,12,1,1
